Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Dustin Dolphin,M,SBD,Raw,36.0,35-39,Submasters 35-39,85.8,90,,,,,170.0,,,,,,,,,,205.0,,DQ,,,,,,,USPA,2018-10-13,USA,TX,The John Griffin Open
Jeff Wang,M,SBD,Raw,26.0,24-34,Open,88.72,90,197.5,215.0,-227.5,,215.0,125.0,140.0,-152.5,,140.0,247.5,260.0,272.5,,272.5,627.5,1,403.56,403.56,389.03,600.18,,,365Strong,2017-06-10,USA,MO,Midwest Regionals
Alejandro Domínguez Sánchez,M,SBD,Raw,29.5,24-34,SNR,112.46,120,170.0,180.0,-192.5,,180.0,-110.0,110.0,115.0,,115.0,195.0,207.5,217.5,,217.5,512.5,6,299.63,299.63,286.77,407.05,Yes,,AEP,2016-02-27,Spain,,Campeonato de la Comunidad Madrileña Promocional
Christian De Leon,M,SBD,Raw,23.0,20-23,Juniors 20-23,81.92,82.5,,,,,187.5,,,,,127.5,,,,,242.5,557.5,6,375.06,375.06,362.14,553.28,,,USPA,2015-03-27,USA,CA,California State Powerlifting Championships
Preschalan Govender,M,SBD,Raw,26.0,24-34,Open,70.8,74,130.0,140.0,152.5,,152.5,105.0,115.0,-125.0,,115.0,210.0,225.0,235.0,,235.0,502.5,1,373.33,373.33,361.63,546.32,Yes,,NZPF,2013-08-31,New Zealand,AKL,Auckland 3-Lift Powerlifting & Bench Press Competition
Christian Carsín Fernández,M,SBD,Raw,21.5,20-23,SNR,80.52,83,190.0,202.5,212.5,,212.5,122.5,127.5,-135.0,,127.5,210.0,220.0,230.0,,230.0,570.0,2,387.56,391.44,374.33,574.5,Yes,,AEP,2018-12-15,Spain,,V Campeonato de Andalucia de Powerlifting y Press Banca RAW
Gergo Opra,M,SBD,Raw,22.5,20-23,Juniors,102.02,105,-245.0,245.0,265.0,,265.0,175.0,182.5,-187.5,,182.5,275.0,290.0,295.0,,295.0,742.5,4,448.37,448.37,430.65,664.95,Yes,Hungary,EPF,2017-03-12,Denmark,,European Classic Powerlifting Championships
Devinlee Brown,M,SBD,Raw,,,20-24,90.0,90,,,,,172.37,,,,,154.22,,,,,204.12,530.7,1,338.8,338.8,326.49,489.75,,,RAWU,2010-06-19,USA,FL,Mike Witmer Memorial
Jeremy Steingreber,M,SBD,Raw,38.0,35-39,Submasters 35-39,89.6,90,,,,,162.5,,,,,110.0,,,,,190.0,462.5,1,295.93,295.93,285.21,417.21,Yes,,NORCAL,2017-03-26,USA,CA,Regionals
Mike Skelton,M,SBD,Raw,46.5,45-49,MR-M1b,111.7,120,222.5,235.0,250.0,,250.0,170.0,182.5,190.0,,190.0,260.0,272.5,282.5,,282.5,722.5,1,423.24,452.02,405.18,610.93,Yes,,USAPL,2015-12-05,USA,CO,Colorado State Championships
Fiachra Daly,M,SBD,Raw,16.5,16-17,MR-T2,63.3,66,,,,,102.5,,,,,62.5,,,,,117.5,282.5,11,229.76,248.14,223.36,298.59,Yes,,USAPL,2015-03-15,USA,MA,5th Annual Ryan Moore N.E. Open High School Championships
Jesse Mans,M,SBD,Raw,,,Sub-Juniors,70.6,74,,,,,87.5,,,,,75.0,,,,,122.5,285.0,3,212.19,212.19,205.56,273.79,Yes,,CPU,2014-03-25,Canada,ON,Hamilton Regional High School Championship
Martin August Størkson Kvile,M,SBD,Raw,,,Open,91.1,93,190.0,200.0,-210.0,,200.0,152.5,160.0,165.0,,165.0,220.0,235.0,,,235.0,600.0,6,380.71,380.71,366.78,560.26,Yes,,NSF,2014-03-28,Norway,,Nasjonalt utstyrsfritt styrkeløft
Lawrence Grooms,M,SBD,Raw,35.0,35-39,Submasters 35-39,122.9,125,,,,,200.0,,,,,155.0,,,,,237.5,592.5,3,338.83,338.83,323.0,459.19,,,USPA,2019-01-13,USA,TN,3rd Annual Tennessee Open
Steven Wang,M,SBD,Raw,25.0,24-34,Open,72.94,75,,,,,137.5,,,,,80.0,,,,,142.5,360.0,7,261.64,261.64,253.25,358.52,,,USPA,2013-01-12,USA,CA,UCLA vs San Jose State Collegiate
Mario Martinez,M,SBD,Raw,20.5,20-23,MR-Jr,100.5,105,185.0,197.5,205.0,,205.0,125.0,-135.0,-135.0,,125.0,230.0,240.0,250.0,,250.0,580.0,2,352.28,359.33,338.52,505.65,Yes,Guatemala,USAPL,2017-04-22,USA,VA,4th Annual NoVa Open
Nick Taylor,M,SBD,Raw,31.0,24-34,Open,81.24,83,150.0,160.0,170.0,,170.0,-90.0,100.0,-110.0,,100.0,185.0,190.0,195.0,,195.0,465.0,1,314.43,314.43,303.65,450.12,Yes,,NZPF,2017-06-17,New Zealand,WGN,CDPA Club Lift
Erik Reppel,M,SBD,Raw,,,Juniors,117.4,120,,,,,200.0,,,,,132.5,,,,,227.5,560.0,1,323.66,323.66,309.19,441.1,Yes,,CPU,2014-09-27,Canada,BC,Thunderbird Challenge
Jesse Ward,M,SBD,Raw,30.0,24-34,Open,91.6,100,,,,,135.0,,,,,97.5,,,,,182.5,415.0,6,262.61,262.61,252.97,360.0,,,USPA,2017-10-07,USA,NY,Long Island Columbus Day Classic
Artem Gerasimov,M,SBD,Raw,16.0,16-17,T (16-17),59.2,60,120.0,130.0,-140.0,,130.0,100.0,105.0,-110.0,,105.0,140.0,150.0,160.0,,160.0,395.0,1,341.07,385.41,332.54,478.55,Yes,Russia,WPC,2009-10-01,Russia,,Raw World Championships
Kyle Rollins,M,SBD,Raw,15.5,16-17,MR-JV,89.3,93,130.0,135.0,142.5,,142.5,80.0,-85.0,-85.0,,80.0,167.5,177.5,185.0,,185.0,407.5,4,261.19,295.14,251.74,358.37,Yes,,USAPL,2018-03-11,USA,MA,8th Annual Ryan Moore New England States High School Championships
Chris Fahs,M,SBD,Raw,33.5,24-34,MR-O,91.5,93,182.5,197.5,202.5,,202.5,132.5,142.5,-147.5,,142.5,225.0,237.5,245.0,,245.0,590.0,9,373.55,373.55,359.85,547.93,Yes,,USAPL,2018-07-14,USA,MO,Midwest & Central Super Regionals
Tochukwu Anachebe,M,SBD,Raw,,,M-O,90.6,93,,,,,210.0,,,,,130.0,,,,,230.0,570.0,5,362.67,362.67,349.44,529.94,Yes,,IrishPF,2016-09-03,Ireland,,Athlone Open
杉本 基彰,M,SBD,Raw,50.0,50-54,Masters 2,64.65,66,125.0,132.5,137.5,,137.5,95.0,100.0,-102.5,,100.0,160.0,172.5,177.5,,177.5,415.0,4,331.51,374.6,322.02,470.05,Yes,,JPA,2016-09-17,Japan,,Japanese Masters Classic Powerlifting Championships
Joey Reid #2,M,SBD,Raw,24.0,24-34,Open,88.3,90,,,,,217.5,,,,,160.0,,,,,257.5,635.0,1,409.41,409.41,394.7,610.28,,,USPA,2015-10-17,USA,AL,Strong Inc's Battle of the Beasts
Robert Hollmann,M,SBD,Raw,39.0,35-39,Novice,82.15,82.5,92.5,97.5,102.5,,102.5,62.5,67.5,-75.0,,67.5,102.5,112.5,142.5,,142.5,312.5,1,209.88,209.88,202.64,272.26,,,365Strong,2018-12-08,USA,NC,Rhino's Day of Reckoning
Colin Wright #1,M,SBD,Raw,47.0,45-49,M-C-M1,117.6,120,265.0,277.5,290.0,,290.0,160.0,170.0,-175.0,,170.0,305.0,320.0,-330.0,,320.0,780.0,1,450.62,487.57,430.45,647.01,Yes,UK,NIPF,2015-08-29,N.Ireland,,Juniors and Masters Classic
Daud Jamshaid,M,SBD,Raw,19.5,20-23,MR-Jr,58.6,59,107.5,115.0,125.0,,125.0,82.5,92.5,-100.0,,92.5,142.5,150.0,157.5,,157.5,375.0,1,326.88,336.69,318.87,454.17,Yes,,USAPL,2015-11-14,USA,TX,Longhorn Open
Dominic Manifold,M,SBD,Raw,,,M-C-Open,72.7,74,150.0,160.0,-167.5,,160.0,95.0,102.5,-110.0,,102.5,190.0,200.0,205.0,,205.0,467.5,2,340.59,340.59,329.69,492.16,Yes,,BP,2012-06-01,UK,,British Classic Championships
Jeffrey Lui,M,SBD,Raw,20.5,20-23,Juniors,67.2,74,165.0,175.0,177.5,,177.5,-100.0,-107.5,107.5,,107.5,195.0,200.0,205.0,,205.0,490.0,1,379.15,386.73,367.82,552.83,Yes,,NZPF,2018-06-09,New Zealand,OTA,South Island Championships
Oleksandr Agadzhanyan,M,SBD,Raw,35.5,35-39,Open,59.0,59,,,,,132.5,,,,,85.0,,,,,180.0,397.5,8,344.3,344.3,335.75,483.57,Yes,,UkrainePF,2015-11-28,Ukraine,,Ukrainian Classic Powerlifting Cup
Vladislav Savchuk,M,SBD,Raw,30.0,24-34,Open,89.1,93,,,,,240.0,,,,,167.5,,,,,235.0,642.5,14,412.29,412.29,397.4,614.82,Yes,,UkrainePF,2018-03-13,Ukraine,,Ukrainian Classic Powerlifting Championships
Steven William English,M,SBD,Raw,,,M-C-M2,74.2,75,,,,,140.0,,,,,95.0,,,,,185.0,420.0,2,301.53,301.53,291.75,426.68,Yes,,BP,2010-09-04,England,,British Unequipped Championship
Anton Neskorodev,M,SBD,Raw,16.0,16-17,Sub-Juniors,88.41,93,,,,,160.0,,,,,95.0,,,,,220.0,475.0,4,306.05,345.84,295.05,434.78,Yes,,UkrainePF,2018-03-13,Ukraine,,Ukrainian Classic Powerlifting Championships
Jan Andreas Smolczyk,M,SBD,Raw,46.5,45-49,Masters 1,72.67,74,130.0,145.0,155.0,,155.0,115.0,122.5,127.5,,127.5,202.5,212.5,217.5,,217.5,500.0,1,364.37,389.15,352.72,532.44,Yes,,BVDK,2017-10-12,Germany,,DM KDK Classic
Mike Turner,M,SBD,Raw,22.0,20-23,Juniors 20-23,88.36,90,,,,,160.0,,,,,97.5,,,,,192.5,450.0,2,290.03,292.93,279.6,407.6,,USA,IPL,2011-11-30,USA,NV,World PL BP DL Championships
Aaron Schulenburg,M,SBD,Raw,35.5,35-39,MR-O,127.5,120+,142.5,152.5,165.0,,165.0,102.5,112.5,120.0,,120.0,182.5,200.0,215.0,,215.0,500.0,1,283.81,283.81,270.08,366.22,Yes,,USAPL,2016-08-06,USA,PA,Summer Classic
Oskar Gustafsson,M,SBD,Raw,,,Juniors,88.8,93,,,,,150.0,,,,,107.5,,,,,175.0,432.5,4,278.02,278.02,268.0,387.09,Yes,,SSF,2013-11-02,Sweden,,DM KLSL Norra Norrland
Cody Palmer,M,SBD,Raw,23.0,20-23,Juniors 20-23,79.9,82.5,,,,,175.0,,,,,145.0,,,,,237.5,557.5,1,380.91,380.91,367.96,563.12,,,USPA,2018-06-09,USA,WV,WV State Championship & 5th IBC Classic
JP McGowan,M,SBD,Raw,,24-34,M-SR,72.8,74,,,,,155.0,,,,,82.5,,,,,172.5,410.0,2,298.4,298.4,288.84,420.73,Yes,,IrishPF,2016-01-23,Ireland,,Novice Open
Jesse Martinez,M,SBD,Raw,30.0,24-34,Open,99.0,100,,,,,175.0,,,,,102.5,,,,,205.0,482.5,2,294.84,294.84,283.45,410.44,,,USPA,2018-06-16,USA,CA,Surf City Open
Aleksandr Laptev,M,SBD,Raw,29.0,24-34,Open,88.0,93,,,,,255.0,,,,,120.0,,,,,235.0,610.0,6,394.0,394.0,379.87,584.24,Yes,Russia,FPR,2012-12-15,Russia,,Chelyabinsk Region Open Powerlifting Championship
Vincent Vo,M,SBD,Raw,25.0,24-34,Open,81.2,82.5,,,,,165.0,,,,,95.0,,,,,215.0,475.0,2,321.29,321.29,310.27,461.79,Yes,,USPA,2017-06-10,USA,CA,Drug-Tested Metroflex Classic
Jack Thornton,M,SBD,Raw,,,M-O,89.2,93,,,,,190.0,,,,,120.0,,,,,240.0,550.0,10,352.73,352.73,339.98,513.71,Yes,,IrishPF,2017-02-04,Ireland,,Munster Open
Felix Kappmeyer,M,SBD,Raw,21.0,20-23,Open,106.6,105+,-232.5,232.5,240.0,,240.0,170.0,172.5,175.0,,175.0,275.0,282.5,,,282.5,697.5,5,414.63,422.93,397.66,603.31,,,Germany-UA,2017-09-01,Germany,HH,Insanity Meet
Jonathan Lewis,M,SBD,Raw,16.5,16-17,MR-T2,91.6,93,180.0,185.0,190.0,,190.0,90.0,97.5,100.0,,100.0,200.0,207.5,217.5,,217.5,507.5,1,321.15,346.84,309.36,459.12,Yes,,USAPL,2017-01-28,USA,AZ,Arizona Winter High School Championships & Open
Sid Reid,M,SBD,Raw,70.0,70-74,MR-M3,81.95,,122.5,127.5,130.0,,130.0,62.5,67.5,-70.0,,67.5,147.5,-155.0,155.0,,155.0,352.5,8,237.1,390.02,228.92,318.56,Yes,,USAPL,2019-03-30,USA,MN,American Strength Masters Brawl
John Gomoljak,M,SBD,Raw,,20-23,Juniors,87.91,90,,,,,201.85,,,,,136.08,,,,,215.46,553.38,1,357.62,357.62,344.81,522.51,,,SPF,2017-07-15,USA,TN,Spring Hill Summer Bash
Devin Coleman,M,SBD,Raw,19.0,18-19,Juniors 18-19,67.1,67.5,,,,,142.5,,,,,115.0,,,,,182.5,440.0,1,340.87,354.5,330.7,488.34,,USA,USPA,2015-10-10,USA,AZ,Phoenix Europa Powerlifting
Dustin Jed Tanada,M,SBD,Raw,23.5,24-34,MR-O,64.9,66,132.5,142.5,-147.5,,142.5,-117.5,117.5,125.0,,125.0,165.0,172.5,-187.5,,172.5,440.0,2,350.34,350.34,340.27,501.88,Yes,,USAPL,2017-04-08,USA,AZ,Arizona State Championship
Taylor Sulik,M,SBD,Raw,22.5,20-23,MR-O,105.6,120,195.0,200.0,-205.0,,200.0,-172.5,-177.5,-182.5,,,,,,,,,DQ,,,,,Yes,,USAPL,2018-04-14,USA,GA,Georgia Spring Open
Kirk McCaulay,M,SBD,Raw,17.0,16-17,Juniors 16-17,59.4,60,,,,,115.0,,,,,85.0,,,,,170.0,370.0,1,318.49,343.97,310.47,441.53,,,USPA,2019-02-16,USA,OH,CBUS Lifting Co Barebones Nationals Qualifier
Jean-Athur Pretorius,M,SBD,Raw,23.5,24-34,Open,81.95,83,,,,,212.5,,,,,147.5,,,,,280.0,640.0,1,430.47,430.47,415.63,647.54,Yes,,SAPF,2016-03-17,South Africa,,South African Raw Championships
Keto Allen,M,SBD,Raw,,,Open,92.6,93,,,,,225.0,,,,,175.0,,,,,262.5,662.5,5,417.03,417.03,401.62,620.86,Yes,,CPU,2017-07-08,Canada,AB,Alberta Provincials
Ivan Pilipeyko,M,SBD,Raw,34.0,24-34,Open,117.65,120,,,,,242.5,,,,,142.5,,,,,240.0,625.0,4,361.03,361.03,344.87,501.5,Yes,,FPR,2013-12-08,Russia,,Far Eastern Powerlifting Championships
Curtis Wainwright,M,SBD,Raw,63.5,60-64,Masters 3,124.93,120+,210.0,220.0,228.0,,228.0,120.0,125.0,127.5,,127.5,230.0,240.0,-250.0,,240.0,595.5,1,339.38,482.26,323.27,457.61,Yes,USA,IPF,2018-06-06,Canada,,6th World Classic Championships
Joseph Fallon,M,SBD,Raw,,,M-C-Open,71.8,74,130.0,140.0,150.0,,150.0,80.0,90.0,-95.0,,90.0,170.0,180.0,190.0,,190.0,430.0,1,316.14,316.14,306.12,450.24,Yes,,EPA,2014-11-22,England,,East Midlands Divisional
Brian Vinacco,M,SBD,Raw,49.5,45-49,MR-M2a,105.0,105,112.5,120.0,-125.0,,120.0,77.5,82.5,87.5,,87.5,140.0,150.0,157.5,,157.5,365.0,1,218.11,242.75,209.29,278.23,Yes,,USAPL,2019-01-19,USA,FL,2nd Southwest Florida Championships
Nick Cambero,M,SBD,Raw,30.0,24-34,Open,88.2,90,,,,,270.0,,,,,172.5,,,,,272.5,715.0,1,461.26,461.26,444.7,698.36,,,USPA,2018-03-17,USA,CA,California State Powerlifting Championships
Dylan Jordan,M,SBD,Raw,18.0,18-19,Juniors 18-19,69.8,75,,,,,165.0,,,,,105.0,,,,,197.5,467.5,1,351.11,372.17,340.23,507.98,Yes,,USPA,2016-12-04,USA,WV,Drug Tested Holiday Havoc Powerlifting
Cody Collier,M,SBD,Raw,27.0,24-34,MR-O,95.7,105,185.0,202.5,210.0,,210.0,130.0,140.0,-147.5,,140.0,212.5,225.0,240.0,,240.0,590.0,3,365.79,365.79,351.98,532.15,Yes,,USAPL,2015-07-11,USA,MD,Baltimore Raw Open
Hasan Nguyen,M,SBD,Raw,18.5,18-19,MR-C,64.8,66,165.0,172.5,-180.0,,172.5,-75.0,85.0,90.0,,90.0,175.0,182.5,192.5,,192.5,455.0,3,362.75,377.26,352.34,522.55,Yes,,USAPL,2016-11-19,USA,TX,Longhorn Open
Ben Blackwell,M,SBD,Raw,35.5,35-39,MR-O,124.5,120+,175.0,185.0,195.0,,195.0,125.0,135.0,-142.5,,135.0,180.0,-190.0,-190.0,,180.0,510.0,1,290.86,290.86,277.1,380.54,Yes,,USAPL,2016-01-23,USA,NY,Northeast Iron Beast Winter Classic III
Aleksandr Eliseev,M,SBD,Raw,32.5,24-34,Pro Open,113.8,125,-190.0,195.0,-205.0,,195.0,150.0,160.0,170.0,,170.0,-235.0,240.0,-250.0,,240.0,605.0,1,352.54,352.54,337.24,492.31,,,WPC-RUS,2017-05-20,Russia,,Koblov Memorial Tournament
Jaylon Gaines,M,SBD,Raw,21.5,20-23,MR-Jr,107.4,120,220.0,227.5,-235.0,,227.5,150.0,-167.5,-167.5,,150.0,240.0,250.0,-260.0,,250.0,627.5,1,372.1,375.82,356.76,531.85,Yes,,USAPL,2019-02-02,USA,AL,Alabama State Championship
Joshua Robinson,M,SBD,Raw,41.0,40-44,Open,98.2,100,,,,,207.5,,,,,100.0,,,,,245.0,552.5,3,338.75,342.14,325.74,484.79,,,USPA,2015-05-30,USA,CA,Old Skool Iron Classic
Jonathan Parsons,M,SBD,Raw,23.5,24-34,Open,104.58,105,240.0,255.0,,,255.0,-165.0,-165.0,-165.0,,,,,,,,,DQ,,,,,Yes,New Zealand,NZPF,2015-07-13,New Zealand,AKL,National Powerlifting Championships
Benjamin Kusin,M,SBD,Raw,29.5,24-34,MR-G,79.3,83,102.5,112.5,120.0,,120.0,67.5,72.5,-85.0,,72.5,147.5,162.5,175.0,,175.0,367.5,G,252.3,252.3,243.76,344.3,Yes,,USAPL,2016-11-05,USA,NY,SBWC Fall Classic
Greg Woodson,M,SBD,Raw,,,Amateur Submasters 33-39,135.9,140,,,,,232.5,,,,,115.0,,,,,185.0,532.5,1,298.93,298.93,283.59,381.29,Yes,,RPS,2018-07-28,USA,KY,Anchored in Iron
Ryan Germscheid,M,SBD,Raw,19.5,20-23,MR-TJ,80.3,83,-175.0,185.0,190.0,,190.0,125.0,-132.5,132.5,,132.5,175.0,185.0,192.5,,192.5,515.0,1,350.76,361.29,338.81,511.89,Yes,,USAPL,2016-04-23,USA,MN,Southeast RAW Showdown
Shane Corbett,M,SBD,Raw,19.5,20-23,M-O,89.8,93,,,,,237.5,,,,,145.0,,,,,275.0,657.5,6,420.22,432.83,404.98,627.92,Yes,Ireland,IrishPF,2018-02-10,Ireland,,National Championships
James Ball,M,SBD,Raw,20.5,20-23,MR-C,79.15,83,180.0,190.0,200.0,,200.0,150.0,157.5,-165.0,,157.5,210.0,217.5,-220.0,,217.5,575.0,49,395.23,403.13,381.87,587.37,Yes,,USAPL,2019-04-12,USA,OH,Collegiate Nationals
Michael Käser,M,SBD,Raw,25.5,24-34,Open,98.85,105,157.5,165.0,172.5,,172.5,115.0,122.5,127.5,,127.5,180.0,190.0,200.0,,200.0,500.0,11,305.72,305.72,293.92,428.82,Yes,,BVDK,2018-05-12,Germany,BY,LM Bayern KDK Classic
Roy Harris,M,SBD,Raw,45.5,45-49,Open,116.6,120,-260.0,260.0,272.5,,272.5,175.0,185.0,-190.0,,185.0,210.0,215.0,220.0,,220.0,677.5,5,392.25,413.82,374.83,553.58,Yes,Nauru,OceaniaPF,2014-12-08,Australia,VIC,Asia & Oceania Championships
Hugo Beaumont,M,SBD,Raw,22.5,20-23,M-C-Open,79.35,83,180.0,192.5,202.5,,202.5,135.0,142.5,-150.0,,142.5,225.0,240.0,-245.0,,240.0,585.0,6,401.45,401.45,387.87,597.99,Yes,UK,BP,2017-03-25,UK,,British University Championships
Maxwell Carlile,M,SBD,Raw,18.5,18-19,MR-T3,90.6,93,182.5,200.0,220.0,,220.0,-150.0,150.0,-160.0,,150.0,240.0,265.0,-277.5,,265.0,635.0,2,404.02,420.18,389.29,600.04,Yes,,USAPL,2018-08-11,USA,TX,Southern Regional Championships
Viacheslav Riabov,M,SBD,Raw,17.5,18-19,Sub-Juniors,89.83,93,240.0,-250.0,250.0,,250.0,140.0,150.0,155.0,,155.0,265.0,280.0,-295.0,,280.0,685.0,3,437.72,463.98,421.84,657.59,Yes,Russia,IPF,2017-06-14,Belarus,,World Classic Powerlifting Championships
William Waller,M,SBD,Raw,47.0,45-49,Open,84.82,90,-265.0,265.0,277.5,,277.5,155.0,-160.0,160.0,,160.0,267.5,277.5,282.5,,282.5,720.0,1,474.58,513.49,457.91,722.19,Yes,USA,RAW,2018-10-27,USA,MD,KPC Halloween Havoc
Yuriy Nikitchenko,M,SBD,Raw,31.0,24-34,Open,63.2,67.5,200.0,-210.0,-210.0,,200.0,-110.0,110.0,-115.0,,110.0,-180.0,180.0,190.0,,190.0,500.0,1,407.21,407.21,395.89,594.68,,Russia,BB,2009-05-23,Russia,,Clear Victory
Evgeniy Shabanov,M,SBD,Raw,15.0,13-15,Pro Teen 13-15,60.0,60,100.0,105.0,110.0,,110.0,60.0,-65.0,65.0,,65.0,90.0,95.0,100.0,,100.0,275.0,2,234.54,276.76,228.53,303.39,,,WPC-RUS,2018-02-25,Russia,,Saratov Open Championship
Bryon Yang,M,SBD,Raw,18.0,18-19,Juniors 18-19,70.45,75,,,,,157.5,,,,,105.0,,,,,192.5,455.0,1,339.31,359.67,328.72,488.55,,,USPA,2017-12-09,USA,CO,Snowball Open
Kyle De Leon,M,SBD,Raw,19.0,18-19,Open,81.8,82.5,,,,,207.5,,,,,160.0,,,,,237.5,605.0,2,407.38,423.68,393.36,608.26,,,USPA,2016-03-18,USA,CA,California State Powerlifting Championships
Colin Wright #1,M,SBD,Raw,49.0,45-49,M-C-M2,117.3,120,275.0,287.5,-292.5,,287.5,162.5,-167.5,170.0,,170.0,300.0,315.0,320.0,,320.0,777.5,1,449.46,500.25,429.39,645.6,Yes,UK,BP,2017-03-11,UK,,British Masters Classic
Sheridan Wray,M,SBD,Raw,43.5,40-44,M-C-M1,92.6,93,190.0,202.5,207.5,,207.5,175.0,185.5,190.5,,190.5,225.0,240.0,250.0,,250.0,648.0,1,407.9,420.55,392.83,605.42,Yes,,BP,2018-10-20,UK,,British Classic Masters Powerlifting Championships
Adam Xiong,M,SBD,Raw,17.0,16-17,Juniors 16-17,54.52,56,,,,,112.5,,,,,82.5,,,,,152.5,347.5,1,324.85,350.84,318.16,443.76,,,USPA,2014-12-13,USA,CA,NorCal Championships
Kevin Campbell,M,SBD,Raw,,,M-O,76.0,83,,,,,150.0,,,,,105.0,,,,,200.0,455.0,2,321.27,321.27,310.68,460.85,Yes,,IrishPF,2018-09-22,Ireland,,September Open
Timo Geserer,M,SBD,Raw,17.0,16-17,Youth,73.0,74,135.0,145.0,-160.0,,145.0,90.0,105.0,-110.0,,105.0,140.0,160.0,-165.0,,160.0,410.0,2,297.81,321.63,288.25,419.83,Yes,,BVDK,2019-03-16,Germany,BY,DM Kraftdreikampf Classic Jugend/Junioren
Manuel Gutierrez Chavez,M,SBD,Raw,27.0,24-34,Open,79.3,82.5,,,,,137.5,,,,,115.0,,,,,140.0,392.5,3,269.46,269.46,260.34,373.49,,,USPA,2018-05-05,USA,CA,Threshold Throwdown
Mathew Rami,M,SBD,Raw,,,MR-O,100.0,100,,,,,174.6,,,,,165.6,,,,,247.2,587.4,10,357.49,357.49,343.57,514.79,Yes,,USAPL,2014-04-12,USA,OH,Battle of the Great Lakes
Joshua Rayburn,M,SBD,Raw,16.5,16-17,MR-T2,84.8,93,-165.0,-165.0,-165.0,,,-92.5,92.5,97.5,,97.5,175.0,182.5,-187.5,,182.5,,DQ,,,,,Yes,,USAPL,2018-06-23,USA,TX,Meet Me at the Bar
Duncan Stewart,M,SBD,Raw,17.0,16-17,Juniors 16-17,107.1,110,,,,,167.5,,,,,110.0,,,,,185.0,462.5,1,274.51,296.47,263.22,370.41,,,USPA,2016-01-09,USA,MS,Revolution Fitness Open Powerlifting Championships
Andriy Rudenko,M,SBD,Raw,48.5,45-49,Open,107.75,120,155.0,165.0,175.0,,175.0,135.0,-145.0,145.0,,145.0,175.0,-187.5,187.5,,187.5,507.5,2,300.62,329.78,288.2,413.11,Yes,,UkrainePF,2011-09-16,Ukraine,,VOSPORO Open Cup
鈴木 康之,M,SBD,Raw,48.0,45-49,Masters 1,80.9,83,200.0,210.0,-220.0,,210.0,135.0,142.5,-147.5,,142.5,235.0,-250.0,250.0,,250.0,602.5,1,408.46,448.08,394.48,610.08,Yes,,JPA,2013-09-13,Japan,,Japanese Classic Powerlifting Championships
Alex Morales,M,SBD,Raw,33.5,24-34,MR-O,75.0,75,,,,,127.0,,,,,95.3,,,,,215.5,437.8,3,311.96,311.96,301.76,444.69,Yes,,USAPL,2014-02-22,USA,NY,Albany Strength Powerlifting Championship
Adam Manery,M,SBD,Raw,22.5,20-23,Open,73.0,74,,,,,200.0,,,,,127.5,,,,,220.0,547.5,5,397.68,397.68,384.92,589.08,Yes,,CPU,2015-04-06,Canada,NL,Canadian Championship
James Bond,M,SBD,Raw,22.0,20-23,Juniors 20-23,90.0,90,,,,,177.5,,,,,127.5,,,,,200.0,505.0,2,322.39,325.61,310.68,461.93,,,USPA,2017-10-07,USA,OH,614 Show Down
Jarred Raab,M,SBD,Raw,19.0,18-19,Open,88.7,90,,,,,132.5,,,,,95.0,,,,,172.5,400.0,13,257.28,267.57,248.01,351.92,Yes,,USPA,2019-02-23,USA,OH,Drug Tested Raw Collegiate Nationals
Kym McIntosh,M,SBD,Raw,,,Open,106.8,120,200.0,-210.0,-215.0,,200.0,135.0,-145.0,-145.0,,135.0,220.0,230.0,-240.0,,230.0,565.0,2,335.66,335.66,321.89,472.07,Yes,,PA,2012-03-24,Australia,QLD,Queensland Open
Ife Aderoba,M,SBD,Raw,,,M-C-Open,91.4,93,210.0,-220.0,-230.0,,210.0,-130.0,130.0,-137.5,,130.0,260.0,280.0,300.0,,300.0,640.0,1,405.43,405.43,390.56,601.97,Yes,,BP,2016-03-12,UK,,British University Powerlifting Championships
Richard Cotter,M,SBD,Raw,23.5,24-34,MR-Jr,74.3,75,,,,,145.0,,,,,110.0,,,,,170.0,425.0,1,304.83,304.83,294.93,432.32,Yes,,USAPL,2014-06-14,USA,WI,Badger Open
Ethan Coleman,M,SBD,Raw,35.5,35-39,MR-O,89.8,93,172.5,185.0,192.5,,192.5,115.0,120.0,-127.5,,120.0,235.0,250.0,-260.0,,250.0,562.5,18,359.5,359.5,346.46,524.95,Yes,,USAPL,2018-08-18,USA,CT,Northeast Regionals
John Rippon,M,SBD,Raw,69.0,65-69,Masters 4,82.2,83,100.0,110.0,,,110.0,95.0,102.5,107.5,,107.5,170.0,180.0,190.0,,190.0,407.5,1,273.58,440.47,264.14,380.64,Yes,New Zealand,NZPF,2018-03-10,New Zealand,WGN,CDPA Club 3-Lift & Bench Press Competition
Timothy Dumancas,M,SBD,Raw,26.0,24-34,Open,74.45,75,,,,,185.0,,,,,117.5,,,,,237.5,540.0,2,386.77,386.77,374.19,571.41,,USA,USPA,2017-10-07,USA,CA,Barron of the Peninsula
