Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Andrew Xayamongkhon,M,SBD,Raw,28.5,24-34,MR-O,69.45,74,170.0,177.5,-187.5,,177.5,127.5,132.5,137.5,,137.5,207.5,217.5,227.5,,227.5,542.5,2,409.01,409.01,396.4,605.43,Yes,,USAPL,2018-10-27,USA,MN,American Strength Monsters Bash
David Standeven,M,SBD,Raw,17.5,18-19,MR-HS,91.8,93,142.5,-152.5,152.5,,152.5,85.0,-97.5,107.5,,107.5,142.5,165.0,180.0,,180.0,440.0,4,278.14,294.82,267.91,386.2,Yes,,USAPL,2018-03-17,USA,GA,Georgia High School State Championships
Sami Mustonen,M,SBD,Raw,26.5,24-34,Open,97.4,105,205.0,212.5,-217.5,,212.5,150.0,155.0,160.0,,160.0,255.0,-262.5,262.5,,262.5,635.0,1,390.68,390.68,375.76,572.77,Yes,,SVNL,2015-05-16,Finland,,Klassinen voimanosto kansalliset
Mark Robles,M,SBD,Raw,,,Juniors,72.9,74,,,,,195.0,,,,,90.0,,,,,257.5,542.5,1,394.44,394.44,381.8,583.53,Yes,,CPU,2018-09-15,Canada,BC,BCPA Fall Classic
Martin Pedeau,M,SBD,Raw,17.0,16-17,Sub-Juniors,73.21,74,-165.0,165.0,170.0,,170.0,95.0,102.5,105.0,,105.0,167.5,175.0,-180.0,,175.0,450.0,4,326.18,352.28,315.7,468.03,Yes,,FFForce,2018-03-31,France,,France Force Athlétique Jeunes
Andreas Hansen van Riesen,M,SBD,Raw,,,Open,81.4,83,200.0,212.5,220.0,,220.0,140.0,150.0,160.0,,160.0,240.0,260.0,-265.0,,260.0,640.0,1,432.24,432.24,417.4,650.55,Yes,,NSF,2018-01-27,Norway,,Åpent stevne
Edward Shadow II,M,SBD,Raw,48.5,45-49,MR-O,97.9,105,227.5,235.0,-242.5,,235.0,137.5,140.0,142.5,,142.5,190.0,195.0,202.5,,202.5,580.0,4,356.07,390.61,342.42,514.13,Yes,,USAPL,2017-04-22,USA,AK,Alaska State Championship
Art Chan,M,SBD,Raw,,,Masters 1,73.3,74,,,,,170.0,,,,,147.5,,,,,180.0,497.5,2,360.3,360.3,348.7,525.9,Yes,Canada,CPU,2019-03-04,Canada,ON,National Championship
Tyler Thomas,M,SBD,Raw,31.5,24-34,MR-O,142.4,120+,-182.5,182.5,192.5,,192.5,140.0,147.5,157.5,,157.5,195.0,205.0,215.0,,215.0,565.0,3,314.93,314.93,298.15,399.21,Yes,,USAPL,2016-07-30,USA,IA,Iowa State Open
Jon Mouton,M,SBD,Raw,20.5,20-23,MR-Jr,73.8,74,175.0,190.0,-197.5,,190.0,-125.0,140.0,-145.0,,140.0,180.0,205.0,215.0,,215.0,545.0,1,392.78,400.64,380.08,581.26,Yes,,USAPL,2018-11-17,USA,LA,Abbeville Open and LA Collegiate Championships
Phil Horrocks,M,SBD,Raw,21.0,20-23,Juniors 20-23,99.7,100,,,,,175.0,,,,,120.0,,,,,202.5,497.5,2,303.14,309.2,291.36,423.87,,,USPA,2017-11-19,USA,FL,Thanksgiving Throwdown
Jayden Fowler,M,SBD,Raw,,,MR-O,62.6,66,150.0,157.5,-162.5,,157.5,92.5,-97.5,-97.5,,92.5,145.0,152.5,157.5,,157.5,407.5,7,334.63,334.63,325.46,472.78,Yes,,EPA,2019-04-06,UK,,SWPLA Open Championships
Ray Thomas,M,SBD,Raw,28.0,24-34,Open,90.35,100,,,,,200.0,,,,,125.0,,,,,210.0,535.0,3,340.87,340.87,328.46,493.11,,,USPA,2016-12-03,USA,CO,Snowball Open II
Mitchell Crain,M,SBD,Raw,21.5,20-23,Juniors,93.4,105,,,,,220.0,,,,,125.0,,,,,257.5,602.5,4,377.72,381.5,363.68,553.85,Yes,,CPU,2017-05-27,Canada,NS,NS and NB Provincials Combined
Anthony R. Carlisi,M,SBD,Raw,,20-23,Amateur Juniors 20-23,79.11,82.5,,,,,156.49,,,,,122.47,,,,,199.58,478.54,1,329.03,329.03,317.92,474.78,Yes,,RPS,2013-11-02,USA,NJ,Autumn Apocalypse
Petter Pettersson Svärd,M,SBD,Raw,,,Juniors,97.6,105,,,,,190.0,,,,,120.0,,,,,200.0,510.0,5,313.5,313.5,301.51,442.75,Yes,,SSF,2013-11-09,Sweden,,DM KLSL Östra Svealand
Christopher Ketkeorasmy,M,SBD,Raw,19.0,18-19,Juniors 18-19,80.1,82.5,,,,,157.5,,,,,97.5,,,,,207.5,462.5,1,315.5,328.12,304.76,451.88,,,USPA,2017-01-07,USA,NC,2nd Annual Raleigh Ruckus
Louis Leonarduzzi,M,SBD,Raw,19.0,18-19,T3,97.98,100,,,,,170.0,,,,,122.5,,,,,177.5,470.0,2,288.44,299.98,277.38,400.35,,,365Strong,2016-11-19,USA,MO,Thanksgiving Powerlifting Classic
Benjamin Bedtke,M,SBD,Raw,29.0,24-34,Open,79.11,82.5,125.0,-135.0,-135.0,,125.0,70.0,77.5,-82.5,,77.5,167.5,182.5,192.5,,192.5,395.0,5,271.59,271.59,262.42,377.09,Yes,,RAW,2018-05-19,USA,,American Challenge
André Albert,M,SBD,Raw,,,Sub-Juniors,57.0,59,,,,,125.0,,,,,87.5,,,,,132.5,345.0,1,308.73,308.73,301.59,421.74,Yes,,CPU,2014-03-31,Canada,ON,Canadian Championship
Phillip Roberts,M,SBD,Raw,28.0,24-34,Open,87.6,90,,,,,222.5,,,,,170.0,,,,,252.5,645.0,1,417.62,417.62,402.69,624.51,,,USPA,2017-07-22,USA,OH,Live Large Mid Summer Classic
Andrey Sergeev,M,SBD,Raw,,,Open,124.1,125,240.0,250.0,260.0,,260.0,165.0,175.0,180.0,,180.0,240.0,250.0,260.0,,260.0,700.0,1,399.48,399.48,380.65,554.82,,Russia,BB,2009-12-19,Russia,,National Championship
Achim Kircher,M,SBD,Raw,48.0,45-49,Masters 1,121.6,120+,145.0,160.0,,,160.0,190.0,200.0,-215.0,,200.0,155.0,170.0,,,170.0,530.0,2,303.79,333.26,289.75,404.37,Yes,Germany,BVDK,2017-06-10,Germany,HE,Hessische Raw Meisterschaft KDK
Jason Kieber,M,SBD,Raw,44.5,40-44,MR-O,99.2,105,150.0,157.5,165.0,,165.0,102.5,110.0,115.0,,115.0,192.5,200.0,-210.0,,200.0,480.0,5,293.07,305.67,281.73,407.33,Yes,,USAPL,2017-03-19,USA,NJ,Whippany Athletic Club Spring Classic
Carlos Andrés Villoria,M,SBD,Raw,31.5,24-34,SNR,64.26,66,-155.0,162.5,-172.5,,162.5,92.5,100.0,102.5,,102.5,190.0,200.0,210.0,,210.0,475.0,4,381.38,381.38,370.55,553.03,Yes,,AEP,2017-11-25,Spain,,Copa de España de Powerlifting y Press Banca
Pekka Turunen,M,SBD,Raw,53.5,50-54,Over 50,73.21,74,150.0,160.0,165.0,,165.0,-125.0,127.5,-130.0,,127.5,190.0,195.0,-200.0,,195.0,487.5,2,353.37,418.39,342.01,514.1,Yes,Finland,SVNL,2014-03-28,Finland,,Veteraanien klassisen voimanoston SM-kisat
Josh Galer,M,SBD,Raw,18.5,18-19,MR-V,73.4,74,110.0,120.0,127.5,,127.5,67.5,72.5,-82.5,,72.5,122.5,135.0,145.0,,145.0,345.0,6,249.61,259.59,241.57,338.3,Yes,,USAPL,2019-02-09,USA,MA,6th Annual High School Elite Cup
Bud Samples,M,SBD,Raw,70.0,70-74,Masters 70-74,84.2,90,,,,,37.5,,,,,132.5,,,,,65.0,235.0,1,155.55,255.88,150.11,179.76,,USA,USPA,2018-02-10,USA,WV,4th Strong Box Pro/Am
David Kang,M,SBD,Raw,,,Open,102.8,105,,,,,240.0,,,,,130.0,,,,,240.0,610.0,7,367.31,367.31,352.71,528.67,Yes,,CPU,2014-10-04,Canada,AB,Western Canadian Championship
